simulation,gcb,dem_house_seats,rep_house_seats,dem_house_win,rep_house_win,dem_senate_seats,rep_senate_seats,dem_senate_win,rep_senate_win
257,-2.9623607457567753,216.0,219.0,0.0,100.0,46.0,54.0,0.0,100.0
258,4.247138775993225,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
259,1.6252231219132245,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
260,-16.869064509406776,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
261,0.4797878404232243,224.0,211.0,100.0,0.0,49.0,51.0,0.0,100.0
262,6.533846990763225,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
263,-16.998536899626774,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
264,-3.777993539036775,211.0,224.0,0.0,100.0,45.0,55.0,0.0,100.0
265,-17.177134564046774,156.0,279.0,0.0,100.0,38.0,62.0,0.0,100.0
266,7.482766590623225,242.0,193.0,100.0,0.0,49.0,51.0,0.0,100.0
267,17.813299629383224,292.0,143.0,100.0,0.0,57.0,43.0,100.0,0.0
268,8.539319045533224,248.0,187.0,100.0,0.0,49.0,51.0,0.0,100.0
269,-8.592565162406775,200.0,235.0,0.0,100.0,44.0,56.0,0.0,100.0
270,-8.505950185636776,200.0,235.0,0.0,100.0,44.0,56.0,0.0,100.0
271,-10.656831214996775,193.0,242.0,0.0,100.0,42.0,58.0,0.0,100.0
272,12.706631433193225,261.0,174.0,100.0,0.0,53.0,47.0,100.0,0.0
273,7.082807236853224,240.0,195.0,100.0,0.0,49.0,51.0,0.0,100.0
274,-9.375480855796775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
275,19.498719533813226,303.0,132.0,100.0,0.0,58.0,42.0,100.0,0.0
276,21.360207257993224,321.0,114.0,100.0,0.0,58.0,42.0,100.0,0.0
277,-16.757058461706777,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
278,19.140437779253226,300.0,135.0,100.0,0.0,58.0,42.0,100.0,0.0
279,15.524856755063224,279.0,156.0,100.0,0.0,56.0,44.0,100.0,0.0
280,6.359721212623224,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
281,8.231519039223224,246.0,189.0,100.0,0.0,49.0,51.0,0.0,100.0
282,14.678537664073225,274.0,161.0,100.0,0.0,54.0,46.0,100.0,0.0
283,-1.1497814113367757,218.0,217.0,100.0,0.0,46.0,54.0,0.0,100.0
284,-5.624509823876776,207.0,228.0,0.0,100.0,45.0,55.0,0.0,100.0
285,12.636072288633224,261.0,174.0,100.0,0.0,53.0,47.0,100.0,0.0
286,-12.267972205366775,184.0,251.0,0.0,100.0,42.0,58.0,0.0,100.0
287,7.253487815473225,240.0,195.0,100.0,0.0,49.0,51.0,0.0,100.0
288,1.8172324463032243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
289,0.04655472892322443,223.0,212.0,100.0,0.0,48.0,52.0,0.0,100.0
290,-3.2387974536867756,215.0,220.0,0.0,100.0,45.0,55.0,0.0,100.0
291,-17.598844908766775,155.0,280.0,0.0,100.0,38.0,62.0,0.0,100.0
292,10.018582183873225,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
293,-1.1152974440067758,218.0,217.0,100.0,0.0,46.0,54.0,0.0,100.0
294,0.05417767455322453,223.0,212.0,100.0,0.0,48.0,52.0,0.0,100.0
295,-2.9115885796567755,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
296,-17.694653920946774,155.0,280.0,0.0,100.0,38.0,62.0,0.0,100.0
297,-2.6534472942567757,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
298,-8.056508631866775,202.0,233.0,0.0,100.0,45.0,55.0,0.0,100.0
