office_code,datawrapper,state,dem_fec_id,dem_name,dem_first_name,dem_last,dem_status,rep_fec_id,rep_name,rep_first_name,rep_last,rep_status,incumbent_bonus,dem_polling,rep_polling,polling_margin,num_polls,total_weight,dem_funds,rep_funds,funds_score,trump_16,clinton_16,trump_20,biden_20,trump_24,harris_24,dem_24,rep_24,total_adult_pop,white,hispanic,black,asian,native_american,pacific_islander,income_lt25k,income_25_50k,income_50_100k,income_100_200k,income_200kplus,edu_hs,edu_bachelor,edu_grad,urban,suburban,rural,lean,date,margin,dem_probability,rep_probability,dem_polling,rep_polling,polling_avg,fundamentals,polling_weight,fundamentals_weight,dem_pct,rep_pct,has_polls,24to26,rating,datawrapper_incumbent_bonus,datawrapper_polling_margin,datawrapper_funds_score,datawrapper_24to26,datawrapper_margin
AZ-06,AZ-06,AZ,H6AZ06099,Joanna Mendoza,Joanna,Mendoza,CHALLENGER,H2AZ02360,Juan Ciscomani,Juan,Ciscomani,INCUMBENT,-0.8800746085618434,,,,,,960307.3099999999,1566688.475,-0.7051880309715506,173612.0,154966.0,214214.0,214520.0,219323.0,216024.0,215533.0,215596.0,,,,,,,,,,,,,,,,,,,0.7505438185842109,2025-10-07,1.6763233641835191,51.18630635179541,48.81369364820459,,,,1.5938216885597492,0.0,1.0,50.83816168209176,49.16183831790824,False,2.4341096817646672,Toss-up,R+0.9,N/A,R+0.7,D+2.4,D+1.7
AZ-07,AZ-07,AZ,H6AZ07121,Adelita Grijalva,Adelita,Grijalva,OPEN,H4AZ07134,Daniel Butierez,Daniel,Butierez,OPEN,2.3863731979949456,,,,,,1278111.75,178868.77,2.637547039599801,70868.0,150034.0,98034.0,194877.0,108028.0,170352.0,171954.0,99057.0,,,,,,,,,,,,,,,,,,,26.996793504578356,2025-10-07,31.746297624075268,71.5195138508525,28.480486149147495,,,,31.68907078087743,0.0,1.0,65.87314881203764,34.12685118796236,False,9.358195030498145,Lean D,D+2.4,N/A,D+2.6,D+9.4,D+31.7
AZ-08,AZ-08,AZ,H6AZ08210,Bernadette Greene-Placentia,Bernadette,Greene-Placentia,CHALLENGER,H4AZ08108,Abraham Hamadeh,Abraham,Hamadeh,INCUMBENT,1.6624487301396527,,,,,,0.0,366249.97,-3.178894445691649,173633.0,116611.0,225553.0,171042.0,226186.0,162183.0,160344.0,208269.0,,,,,,,,,,,,,,,,,,,-14.506758001369782,2025-10-07,-12.571757356164396,41.163155093732875,58.836844906267125,,,,-13.205317779619966,0.0,1.0,43.7141213219178,56.2858786780822,False,3.9081882625641864,Toss-up,D+1.7,N/A,R+3.2,D+3.9,R+12.6
AZ-09,AZ-09,AZ,H0AZ03248,Gene Paul Scharer,Gene,Scharer,CHALLENGER,H0AZ01259,Paul Gosar,Paul,Gosar,INCUMBENT,0.24296338829397357,,,,,,0.0,190462.76,-2.3558133420798666,156898.0,82413.0,225592.0,132199.0,262165.0,137054.0,132640.0,249583.0,,,,,,,,,,,,,,,,,,,-28.67452931478856,2025-10-07,-28.023879191032606,30.824681926399123,69.17531807360088,,,,-27.90787210246331,0.0,1.0,35.9880604044837,64.01193959551631,False,3.3150600879095293,Lean R,D+0.2,N/A,R+2.4,D+3.3,R+28.0
CA-01,CA-01,CA,H6CA01228,James Salegui,James,Salegui,CHALLENGER,H2CA02142,Doug Lamalfa,Doug,Lamalfa,INCUMBENT,-2.8677620164114987,,,,,,4859.5,516862.745,-3.5030127461307483,170823.0,105784.0,203112.0,136741.0,199649.0,118090.0,110636.0,208592.0,,,,,,,,,,,,,,,,,,,-22.700531671033698,2025-10-07,-24.61690079107175,33.02698060944774,66.97301939055225,,,,-24.5812910972042,0.0,1.0,37.69154960446413,62.30845039553587,False,1.0516510706764137,Lean R,R+2.9,N/A,R+3.5,D+1.1,R+24.6
CA-02,CA-02,CA,H2CA06259,Jared Huffman,Jared,Huffman,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,-0.6954700112147577,,,,,,809956.385,0.0,10.0,85214.0,251017.0,101414.0,310574.0,100474.0,276863.0,272883.0,106734.0,,,,,,,,,,,,,,,,,,,49.3742096096507,2025-10-07,52.97989135899999,83.1424373162334,16.857562683766602,,,,52.82679522723954,0.0,1.0,76.4899456795,23.510054320500004,False,6.234144188698643,Likely D,R+0.7,N/A,D+10.0,D+6.2,D+53.0
CA-03,CA-03,CA,H6CA03133,Heidi Hall,Heidi,Hall,CHALLENGER,H2CA03157,Kevin Kiley,Kevin,Kiley,INCUMBENT,-3.5580392610426976,44.9679008425,47.0320991575,-2.0641983149999987,1.0,0.005000094031730029,107147.495,910944.65,-2.7160979821885034,175407.0,148007.0,219294.0,211661.0,218497.0,201922.0,188067.0,234246.0,,,,,,,,,,,,,,,,,,,-2.170237038925447,2025-10-07,-3.823907863013464,47.295280098246224,52.704719901753776,44.9679008425,47.0320991575,-2.0641983149999987,-4.1177239128789545,0.0026781325567211524,0.9973218674432789,48.08804606849327,51.91195393150673,True,0.1185875998462067,Toss-up,R+3.6,R+2.1,R+2.7,D+0.1,R+3.8
CA-04,CA-04,CA,H8CA01109,Mike Thompson,Mike,Thompson,INCUMBENT,H6CA04206,Sharon Brown,Sharon,Brown,CHALLENGER,0.8453098141513737,,,,,,1252360.295,0.0,4.889865754994434,91919.0,199575.0,113871.0,250248.0,115410.0,225203.0,227730.0,114950.0,,,,,,,,,,,,,,,,,,,35.23183787549403,2025-10-07,40.259513586383825,76.60528649796831,23.394713502031692,,,,40.022898920261376,0.0,1.0,70.12975679319192,29.870243206808084,False,8.025570665825889,Likely D,D+0.8,N/A,D+4.9,D+8.0,D+40.3
CA-05,CA-05,CA,H6CA05377,Michael Masuda,Michael,Masuda,CHALLENGER,H8CA04152,Thomas Mcclintock,Thomas,Mcclintock,INCUMBENT,-2.907745235310652,,,,,,16181.895,280388.745,-2.4117945602770536,176921.0,127406.0,221933.0,172130.0,219092.0,151686.0,140919.0,227643.0,,,,,,,,,,,,,,,,,,,-15.334691746660159,2025-10-07,-16.71262850963896,38.31405567675954,61.68594432324046,,,,-16.696497559169913,0.0,1.0,41.64368574518052,58.35631425481948,False,1.4669830099226076,Lean R,R+2.9,N/A,R+2.4,D+1.5,R+16.7
CA-06,CA-06,CA,H0CA03078,Amerish Bera,Amerish,Bera,INCUMBENT,H4CA06156,Raymond Riehle,Raymond,Riehle,CHALLENGER,0.6854616991834567,,,,,,1183713.865,17083.105,4.367778116500359,97141.0,140123.0,131589.0,192994.0,124666.0,166463.0,165408.0,121664.0,,,,,,,,,,,,,,,,,,,17.1689967260072,2025-10-07,22.098673211980312,65.31358966563648,34.686410334363515,,,,21.592448541548894,0.0,1.0,61.049336605990156,38.950663394009844,False,7.741807355263873,Lean D,D+0.7,N/A,D+4.4,D+7.7,D+22.1
